run, name, edit distance, time(ms), memory_KB, file1, file2
21, Memoización, 30146, 597.746, 509856, files/test1.txt, files/test5.txt
22, Memoización, 30146, 613.207, 509804, files/test1.txt, files/test5.txt
23, Memoización, 30146, 607.44, 509812, files/test1.txt, files/test5.txt
24, Memoización, 30146, 604.548, 509800, files/test1.txt, files/test5.txt
25, Memoización, 30146, 611.623, 509816, files/test1.txt, files/test5.txt
26, Memoización, 30146, 597.799, 509800, files/test1.txt, files/test5.txt
27, Memoización, 30146, 599.764, 509804, files/test1.txt, files/test5.txt
28, Memoización, 30146, 595.392, 509852, files/test1.txt, files/test5.txt
29, Memoización, 30146, 597.851, 509796, files/test1.txt, files/test5.txt
30, Memoización, 30146, 597.917, 509820, files/test1.txt, files/test5.txt
1, Memoización, 3672, 86.1344, 66472, files/test2.txt, files/test1.txt
2, Memoización, 3672, 86.3617, 66456, files/test2.txt, files/test1.txt
3, Memoización, 3672, 84.8262, 66472, files/test2.txt, files/test1.txt
4, Memoización, 3672, 85.8405, 66464, files/test2.txt, files/test1.txt
5, Memoización, 3672, 86.541, 66344, files/test2.txt, files/test1.txt
6, Memoización, 3672, 86.1803, 66472, files/test2.txt, files/test1.txt
7, Memoización, 3672, 89.3562, 66424, files/test2.txt, files/test1.txt
8, Memoización, 3672, 89.8768, 66472, files/test2.txt, files/test1.txt
9, Memoización, 3672, 87.987, 66436, files/test2.txt, files/test1.txt
10, Memoización, 3672, 87.6425, 66468, files/test2.txt, files/test1.txt
11, Memoización, 3672, 87.0747, 66472, files/test2.txt, files/test1.txt
12, Memoización, 3672, 87.543, 66436, files/test2.txt, files/test1.txt
13, Memoización, 3672, 87.225, 66468, files/test2.txt, files/test1.txt
14, Memoización, 3672, 87.2127, 66344, files/test2.txt, files/test1.txt
15, Memoización, 3672, 85.9003, 66472, files/test2.txt, files/test1.txt
16, Memoización, 3672, 85.2403, 66440, files/test2.txt, files/test1.txt
17, Memoización, 3672, 88.85, 66472, files/test2.txt, files/test1.txt
18, Memoización, 3672, 86.9607, 66472, files/test2.txt, files/test1.txt
19, Memoización, 3672, 90.2209, 66472, files/test2.txt, files/test1.txt
20, Memoización, 3672, 89.11, 66472, files/test2.txt, files/test1.txt
21, Memoización, 3672, 86.5392, 66464, files/test2.txt, files/test1.txt
22, Memoización, 3672, 86.3309, 66472, files/test2.txt, files/test1.txt
23, Memoización, 3672, 85.1582, 66464, files/test2.txt, files/test1.txt
24, Memoización, 3672, 86.6401, 66472, files/test2.txt, files/test1.txt
25, Memoización, 3672, 86.747, 66472, files/test2.txt, files/test1.txt
26, Memoización, 3672, 87.0829, 66440, files/test2.txt, files/test1.txt
27, Memoización, 3672, 88.0803, 66436, files/test2.txt, files/test1.txt
28, Memoización, 3672, 87.5328, 66472, files/test2.txt, files/test1.txt
29, Memoización, 3672, 89.0875, 66472, files/test2.txt, files/test1.txt
30, Memoización, 3672, 89.1287, 66472, files/test2.txt, files/test1.txt
1, Memoización, 0, 39.5506, 128936, files/test2.txt, files/test2.txt
2, Memoización, 0, 39.8347, 128936, files/test2.txt, files/test2.txt
3, Memoización, 0, 40.1018, 128936, files/test2.txt, files/test2.txt
4, Memoización, 0, 39.6369, 128928, files/test2.txt, files/test2.txt
5, Memoización, 0, 42.144, 128936, files/test2.txt, files/test2.txt
6, Memoización, 0, 42.7446, 128880, files/test2.txt, files/test2.txt
7, Memoización, 0, 39.2896, 128936, files/test2.txt, files/test2.txt
8, Memoización, 0, 39.7851, 128932, files/test2.txt, files/test2.txt
9, Memoización, 0, 40.218, 128936, files/test2.txt, files/test2.txt
10, Memoización, 0, 40.3683, 128888, files/test2.txt, files/test2.txt
11, Memoización, 0, 40.6315, 128928, files/test2.txt, files/test2.txt
12, Memoización, 0, 40.1629, 128936, files/test2.txt, files/test2.txt
13, Memoización, 0, 40.4318, 128936, files/test2.txt, files/test2.txt
14, Memoización, 0, 41.9456, 128936, files/test2.txt, files/test2.txt
15, Memoización, 0, 39.9611, 128900, files/test2.txt, files/test2.txt
16, Memoización, 0, 41.096, 128900, files/test2.txt, files/test2.txt
17, Memoización, 0, 39.7983, 128928, files/test2.txt, files/test2.txt
18, Memoización, 0, 40.1233, 128936, files/test2.txt, files/test2.txt
19, Memoización, 0, 40.3794, 128900, files/test2.txt, files/test2.txt
20, Memoización, 0, 39.6821, 128936, files/test2.txt, files/test2.txt
21, Memoización, 0, 40.1802, 128900, files/test2.txt, files/test2.txt
22, Memoización, 0, 39.6661, 128936, files/test2.txt, files/test2.txt
23, Memoización, 0, 41.547, 128884, files/test2.txt, files/test2.txt
24, Memoización, 0, 40.6527, 128932, files/test2.txt, files/test2.txt
25, Memoización, 0, 39.9503, 128896, files/test2.txt, files/test2.txt
26, Memoización, 0, 42.165, 128808, files/test2.txt, files/test2.txt
27, Memoización, 0, 41.4853, 128868, files/test2.txt, files/test2.txt
28, Memoización, 0, 40.0683, 128900, files/test2.txt, files/test2.txt
29, Memoización, 0, 39.8919, 128928, files/test2.txt, files/test2.txt
30, Memoización, 0, 40.9672, 128932, files/test2.txt, files/test2.txt
1, Memoización, 7376, 355.923, 254468, files/test2.txt, files/test3.txt
